cluster,feature,factor_1,factor_2
3,imports_of_goods_and_services_constant_2015_usd,0.6904359113074242,-0.010337043144552143
3,imports_of_goods_and_services_annual_percent_growth,-0.1415724594041316,-0.11099729615268
3,imports_of_goods_and_services_percent_of_gdp,-0.4403560445576021,0.1978367473219055
3,external_balance_on_goods_and_services_percent_of_gdp,0.3600686901782525,0.12837472223646504
3,services_value_added_per_worker_constant_2015_usd,-0.07425552913985413,0.22907155630333934
3,services_value_added_current_usd,0.8018066570224235,-0.05697973511916618
3,services_value_added_constant_2015_usd,0.8039121383213004,-0.05983547251167225
3,services_value_added_annual_percent_growth,-0.1006268279249525,0.025295997846558414
3,services_value_added_percent_of_gdp,-0.296737433887356,-0.09316106878685489
3,inflation_gdp_deflator_annual_percent,0.31808894325275067,0.02829837818627202
3,inflation_gdp_deflator_linked_series_annual_percent,0.3180949972356945,0.028159603258269994
3,foreign_direct_investment_net_bop_percent_of_gdp,0.28583079407840856,0.07355927714061385
4,trade_in_services_percent_of_gdp,0.26247861656257004,-0.27676320415357625
4,imports_of_goods_and_services_bop_current_usd,-0.972394266204018,-0.19278994922677037
4,insurance_and_financial_services_percent_of_service_imports_bop,0.06487930916489205,-0.12923830107602557
4,imports_of_goods_services_and_primary_income_bop_current_usd,-0.9667518859696026,-0.23856895232439831
4,transport_services_percent_of_service_imports_bop,-0.028295036380588404,0.261119629372915
4,travel_services_percent_of_service_imports_bop,0.09686489605481967,0.1296904632272866
4,foreign_direct_investment_net_outflows_percent_of_gdp,-0.11758867465120165,0.12309587569154741
4,portfolio_investment_net_bop_current_usd,0.05408662244510355,0.013426557326717797
4,exports_of_goods_and_services_bop_current_usd,-0.9623796419609117,-0.24757130979866232
4,insurance_and_financial_services_percent_of_service_exports_bop,-0.33325937126554805,-0.25772315029312515
4,exports_of_goods_services_and_primary_income_bop_current_usd,-0.9549010566436433,-0.2927072957231738
4,transport_services_percent_of_service_exports_bop,-0.20226459009867936,-0.03942177219404818
4,travel_services_percent_of_service_exports_bop,0.5893591329741137,0.1896317628286819
4,foreign_direct_investment_net_inflows_percent_of_gdp,0.12894438312122652,0.049421095516986036
4,short_term_debt_percent_of_exports_of_goods_services_and_primary_income,0.0,0.0
4,net_oda_received_percent_of_imports_of_goods_services_and_primary_income,0.0,0.0
4,total_debt_service_percent_of_exports_of_goods_services_and_primary_income,0.0,0.0
4,debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income,0.0,0.0
