country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,factor_1,factor_2
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2022,-0.1325205147873144,-0.43883294626424363
"Venezuela, RB",VEN,Latin America & Caribbean,Not classified,2022,-0.13457178281696935,-0.3770249049828308
Viet Nam,VNM,East Asia & Pacific,Lower middle income,2022,8.258528929260617,0.5008763879863424
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,2022,-0.13483218772377023,-0.37932000154964524
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2022,-0.13388365333775815,-0.40661142416964113
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,2022,-0.13357765502319474,-0.37129737097395293
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2022,-0.13263982635291813,-0.3991360668104053
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2022,-0.13302923037493616,-0.4109199664124321
Puerto Rico,PRI,Latin America & Caribbean,High income,2022,-0.1337429843185396,-0.36875286992781425
Somalia,SOM,Sub-Saharan Africa,Low income,2022,-0.1337429843185396,-0.36875286992781425
