"","year","rgdpe","rgdpo","pop","emp","avh","hc","ccon","cda","cgdpe","cgdpo","cn","ck","ctfp","cwtfp","rgdpna","rconna","rdana","rnna","rkna","rtfpna","rwtfpna","labsh","irr","delta","xr","pl_con","pl_da","pl_gdpo","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r","pl_c","pl_i","pl_g","pl_x","pl_m","pl_n","pl_k"
"27",1976,1052277.25,1050991.75,55.459416,20.4029140472412,1875.2,2.19762563705444,792644,1073810,1056863.25,1061879,4162037,0.123040340840817,1.08333194255829,1.09343326091766,1590774,1119614.125,1656788.375,7223812.5,0.314987301826477,1.19374418258667,1.25599670410156,0.620425760746002,0.0883158519864082,0.031650185585022,0.429865153103476,0.211129516363144,0.213133975863457,0.2121272534132,0.593903303146362,0.264781594276428,0.152550831437111,0.150543421506882,-0.171615123748779,0.00983594544231892,0.210245839670599,0.218784818848322,0.214569777869133,0.2312421053648,0.234827175736427,0.160252213478088,0.980222463607788
"28",1977,1114959.375,1109706.75,55.714555,20.4788055419922,1840.92,2.22070574760437,840906.3125,1113137.125,1120159.125,1120128.875,4427910.5,0.12686476111412,1.10927486419678,1.0904256105423,1631505.625,1154107.75,1666323.75,7560345.5,0.33151713013649,1.20409262180328,1.24236536026001,0.624092876911163,0.0850387737154961,0.0317669399082661,0.455715542424998,0.228052034974098,0.230486214160919,0.230492413043976,0.5958691239357,0.243035301566124,0.154853671789169,0.155104443430901,-0.164875507354736,0.0160129722207785,0.226472947565862,0.238005205967003,0.23412829464666,0.259385526180267,0.257635831832886,0.175508663058281,0.971100747585297
"29",1978,1196804.5,1187837.5,55.938965,20.5631484985352,1831.04,2.24402809143066,888227.8125,1177976,1200082.875,1197937.125,4700425,0.128801792860031,1.13886046409607,1.10890698432922,1684368.625,1188343.125,1714626.375,7889368,0.348158895969391,1.21327137947083,1.24769651889801,0.616312682628632,0.0862250998616219,0.0318282283842564,0.438298033503033,0.261776298284531,0.263136744499207,0.263608068227768,0.586166739463806,0.241872668266296,0.155297726392746,0.15874120593071,-0.161740452051163,0.0196621920913458,0.257771528226428,0.267307162715275,0.276892217931135,0.294761955738068,0.291318774223328,0.205232113599777,1.05908858776093
"30",1979,1297587.75,1293149.125,56.13238,20.816478729248,1824.62,2.26759552955627,965374.6875,1290853.125,1300776.375,1300194.375,4986656,0.132337138056755,1.19210624694824,1.17864036560059,1784743,1257053.875,1821107.375,8243231.5,0.367267847061157,1.24459946155548,1.2829452753067,0.612323820590973,0.0885277315974236,0.0319368578493595,0.429104239938602,0.303127199411392,0.303342372179031,0.303478181362152,0.592125356197357,0.250330626964569,0.150359556078911,0.162884667515755,-0.177843913435936,0.0221437085419893,0.296092227313843,0.303980598781537,0.330831326183403,0.341114968061447,0.337191075086594,0.240588992834091,1.16581320762634
"31",1980,1367838,1376865.25,56.412084,21.1912574768066,1825.64,2.29141068458557,1054556.625,1423921.375,1380840.125,1377468,5219407.5,0.133158564567566,1.23605251312256,1.28643906116486,1845960,1322943.875,1931001.875,8626153,0.389177232980728,1.23653650283813,1.30673038959503,0.605762183666229,0.0853620544075966,0.0321988128125668,0.442318220081609,0.34307923913002,0.346410185098648,0.34725821018219,0.613710701465607,0.268147617578506,0.151865407824516,0.141572266817093,-0.189696773886681,0.0144007597118616,0.334054817105541,0.355920188743597,0.379548251173834,0.398268610239029,0.380706489086151,0.289961636066437,1.31941568851471
"32",1981,1340427,1356760.875,56.64675,21.2429008483887,1828.97,2.31639218330383,1051560.25,1388121.625,1356275.5,1355586.25,5322758,0.134577378630638,1.18758618831635,1.21980559825897,1861544,1349418,1914460.5,8972646,0.408314615488052,1.21251702308655,1.25973618030548,0.60871958732605,0.0759845227003098,0.0324372686445713,0.587090126893243,0.316088765859604,0.318300187587738,0.318462044000626,0.616219520568848,0.248277366161346,0.159504070878029,0.149713799357414,-0.186827749013901,0.0131129529327154,0.305293348506537,0.32520970432358,0.357795204554705,0.370869278907776,0.359571278095245,0.276608109474182,1.01450085639954
"33",1982,1332940.375,1337406.125,56.719175,21.3010883331299,1839.07,2.34164619445801,1043655.4375,1373369.75,1351627.875,1342439.5,5311164.5,0.133877083659172,1.17521643638611,1.19863665103912,1869243.25,1368736.5,1927137.875,9276887,0.42401796579361,1.1858104467392,1.23503959178925,0.60707151889801,0.0749313160777092,0.0325232483446598,0.69851312058653,0.316941350698471,0.316839724779129,0.319008320569992,0.613467693328857,0.24560834467411,0.163964316248894,0.145129531621933,-0.181934371590614,0.0137645229697227,0.308079225333466,0.316517962945895,0.350098747295534,0.376978635787964,0.353057056665421,0.279228836297989,0.98078852891922
"34",1983,1330278,1327445.125,56.766111,21.3517684936523,1843.8,2.36717534065247,1028601.3125,1342208.625,1345728.375,1333424.375,5248396.5,0.132561951875687,1.13652837276459,1.12691950798035,1891098.375,1378553,1924906.875,9560125,0.437423020601273,1.17379486560822,1.20699787139893,0.607840418815613,0.0760758221149445,0.0324465557932854,0.784419700420308,0.331960141658783,0.329971730709076,0.33301654458046,0.603992223739624,0.235189408063889,0.167406126856804,0.148842200636864,-0.175351843237877,0.019921887665987,0.322557034107,0.323449958095704,0.365886055156007,0.366207897663116,0.343711733818054,0.290975302457809,0.912497043609619
"35",1984,1336835.375,1331818.875,56.810353,21.3420295715332,1832.95,2.39298295974731,1030818.3125,1357404.375,1347759.125,1336068.125,5242477,0.128990605473518,1.09049117565155,1.0758775472641,1952102.375,1414771.125,1988655.125,9861980,0.453297555446625,1.19117414951324,1.22588789463043,0.585651457309723,0.0849434807896614,0.0323576368391514,0.907394543804237,0.326913982629776,0.325651377439499,0.328500866889954,0.60486501455307,0.244438201189041,0.166666254401207,0.157365411520004,-0.191141754388809,0.0178069174289703,0.318210648653437,0.321666053087181,0.358500145791984,0.348953485488892,0.330193370580673,0.281782329082489,0.877228081226349
"36",1985,1353751.375,1347036.75,56.855501,21.5481414794922,1826.88,2.4190719127655,1037330.375,1374686.25,1365116.75,1358129.125,5331775,0.12730772793293,1.07312405109406,1.05235493183136,2006723.875,1455238.75,2049428.875,10160453,0.468618422746658,1.19565618038178,1.23358821868896,0.581765294075012,0.0865299850702286,0.0323711857199669,0.986143031015303,0.336043983697891,0.332015544176102,0.333723813295364,0.596983730792999,0.248397544026375,0.166809931397438,0.163909494876862,-0.195577442646027,0.0194767192006111,0.327432808109451,0.319628509612056,0.366861926753925,0.354685306549072,0.342450320720673,0.284711390733719,0.86288332939148
"37",1986,1436757.125,1433808.5,56.875988,21.7032260894775,1839.21,2.44544529914856,1084989,1434160.125,1449564.875,1440438,5533473,0.12929904460907,1.07374310493469,1.03471827507019,2064115.75,1508812.75,2111593.5,10466298,0.484854847192764,1.195063829422,1.23505425453186,0.569937348365784,0.0948190316557884,0.0324753411114216,0.769939109730952,0.453174918889999,0.442774027585983,0.445579588413239,0.588681817054749,0.242406204342842,0.164553672075272,0.1640345454216,-0.177332833409309,0.0176565609872341,0.443371110530007,0.410455147615391,0.488247518946935,0.414058059453964,0.400670289993286,0.373368471860886,1.188361287117
"38",1987,1502693.5,1503126.875,56.891926,21.760440826416,1853.65,2.47210597991943,1131853.125,1511841.5,1514935.25,1503807.25,5828317.5,0.132629528641701,1.07089102268219,1.04508459568024,2130001.5,1567703.5,2199553,10787720,0.502915263175964,1.19931435585022,1.251140832901,0.569367825984955,0.0962852984666824,0.0327269956469536,0.669364293202911,0.549958169460297,0.533100783824921,0.53704571723938,0.585502088069916,0.252684235572815,0.167156279087067,0.17012694478035,-0.188004404306412,0.0125348381698132,0.534879720851475,0.48288859549082,0.602773807605167,0.45576474070549,0.442398637533188,0.440239489078522,1.40636777877808
"39",1988,1579708.75,1571269.125,56.928751,22.0065326690674,1861.24,2.49905776977539,1182755.875,1594339.75,1591566.25,1573001,6226703,0.138919308781624,1.04844272136688,1.04066061973572,2219341.75,1631172.75,2290035.75,11140500,0.523182988166809,1.21032440662384,1.26164889335632,0.564549148082733,0.0991464257240295,0.0331534221768379,0.672234502419601,0.581699252128601,0.561470866203308,0.568097651004791,0.58476722240448,0.261655211448669,0.1671432107687,0.165895119309425,-0.189688593149185,0.0102278040722013,0.561844383362996,0.50334106256258,0.651163616494295,0.49022588133812,0.464584887027741,0.450337946414948,1.41016900539398
"40",1989,1655200.125,1639964.5,56.976755,22.1740818023682,1849.17,2.52630305290222,1227256.875,1668634.125,1664801,1642746.875,6717462.5,0.147973269224167,1.04423177242279,1.04591417312622,2294541.5,1681796.75,2365043.25,11510960,0.543858349323273,1.22215604782105,1.27258992195129,0.565536856651306,0.100344873964787,0.0336465537548065,0.708627068194689,0.586284399032593,0.559085547924042,0.566591322422028,0.584544599056244,0.268682479858398,0.162531465291977,0.172136768698692,-0.198962494730949,0.0110671557486057,0.565451971744241,0.483458640293585,0.661208211912697,0.49686124920845,0.467943519353867,0.428621858358383,1.24801445007324
"41",1990,1731116.75,1719200.625,57.031454,22.5468826293945,1832.68,2.55384540557861,1267889.25,1737997.875,1737922,1711275.5,7275169,0.158824071288109,1.03295207023621,1.03619408607483,2340106,1717462.25,2429407.5,11894321,0.565157353878021,1.21311712265015,1.27229034900665,0.575510978698731,0.0949427708983421,0.0340859517455101,0.618767871560614,0.717585384845734,0.68127715587616,0.691885471343994,0.58891224861145,0.274712443351746,0.15199077129364,0.188058391213417,-0.213345572352409,0.00967164896428585,0.671796797811808,0.583353414128941,0.895000614538738,0.523752808570862,0.493181109428406,0.514015793800354,1.37908685207367
"42",1991,1792648.625,1773159.75,57.075393,22.9706020355225,1823.87,2.5766487121582,1302984.75,1799071,1799003,1777734.625,7881985,0.170197188854218,1.02954602241516,1.0380791425705,2376107.25,1760032.625,2478045.5,12266690,0.585381209850311,1.1978394985199,1.26200330257416,0.582146406173706,0.0918722897768021,0.0344277657568455,0.640723315102403,0.740147888660431,0.694299578666687,0.702606022357941,0.582443714141846,0.279055297374725,0.150502979755402,0.172022864222527,-0.194407016038895,0.0103821437805891,0.693159713095878,0.573877578034542,0.92199136038134,0.553930342197418,0.527809202671051,0.50573855638504,1.29375636577606
"43",1992,1831456.125,1815043.375,57.12499,22.8082695007324,1826.86,2.59761786460876,1330825.875,1840681,1838195.375,1809509.25,8518795,0.179854556918144,0.983073890209198,0.993989765644074,2395930.5,1786941.625,2497104,12614226,0.604620158672333,1.18973791599274,1.25265765190125,0.579520106315613,0.0905751213431358,0.0346804559230804,0.636484495103126,0.77545827627182,0.719856321811676,0.731268167495728,0.583681166172028,0.281764298677444,0.151781141757965,0.194651216268539,-0.218312561511993,0.00643474282696843,0.731697704442699,0.57472393801581,0.943741581357904,0.506502747535706,0.477690041065216,0.504993081092835,1.24871623516083
"44",1993,1810562.5,1808588.875,57.170764,22.1998119354248,1827,2.61875796318054,1303200.75,1759093.875,1814558.875,1800403.25,9074912,0.186928078532219,0.953851103782654,0.919675588607788,2375498,1739271.375,2367608.5,12856146,0.615311563014984,1.18352365493774,1.19165575504303,0.566859781742096,0.0918164625763893,0.0346886105835438,0.812730593701638,0.633614659309387,0.588226914405823,0.592851877212524,0.572777569293976,0.253217190504074,0.151060715317726,0.187476262450218,-0.175710588693619,0.011178863234818,0.599509565190364,0.458483120217021,0.762931135320587,0.499243229627609,0.467257887125015,0.390487283468246,0.934696674346924
"45",1994,1881445.875,1872025.5,57.420138,21.9253311157227,1826.69,2.64006972312927,1317543.875,1811703.625,1873718,1862288.875,9553751,0.18868100643158,0.954224526882172,0.915487885475159,2426595.25,1751668.625,2403222.25,13098709,0.62766969203949,1.20138537883759,1.20198094844818,0.546875178813934,0.098519079387188,0.0345620289444923,0.83275833604473,0.64537525177002,0.588031530380249,0.59164035320282,0.563025772571564,0.265350759029388,0.144460499286652,0.200669676065445,-0.186636433005333,0.0131297269836068,0.613964567874568,0.435139944208926,0.767796547826074,0.508422553539276,0.483354568481445,0.381506741046906,0.92617928981781
"46",1995,1969833.375,1962448.875,57.403344,21.8745021820068,1832.5,2.66155529022217,1333930.25,1881440.75,1952755.375,1938794.75,9923490,0.18939034640789,0.958643913269043,0.919270098209381,2496647.5,1758471.25,2444720.5,13385084,0.643506467342377,1.21602869033813,1.20291364192963,0.527607023715973,0.107710309326649,0.0346358865499496,0.841273767776875,0.66878753900528,0.602946043014526,0.607287645339966,0.55478835105896,0.282397359609604,0.13323201239109,0.216545507311821,-0.198003441095352,0.0110402330756187,0.637985557400079,0.44253287689004,0.797049240256049,0.547831296920776,0.520985245704651,0.381827533245087,0.979078352451325
"47",1996,1997223.375,1996793.625,57.162092,21.9094867706299,1841.44,2.68321537971497,1351812.375,1879217.75,1968232.625,1958712.375,10105364,0.186507135629654,0.945382177829742,0.895724892616272,2530241.75,1777348.5,2462862.5,13675655,0.660175621509552,1.20828938484192,1.18814051151276,0.53076845407486,0.107847936451435,0.0348295494914055,0.796865605864198,0.735769152641296,0.668027400970459,0.671274244785309,0.562319338321686,0.26926127076149,0.127834215760231,0.232684642076492,-0.203860923647881,0.0117614669725299,0.692014513387199,0.494395989709973,0.92823777182492,0.552919805049896,0.520905196666718,0.41509485244751,1.04293382167816
"48",1997,2083450.375,2067600.25,57.189274,21.9851760864258,1835.32,2.70505213737488,1445028.25,1973514.125,2049378,2040032,9940056,0.177112445235252,0.979157269001007,0.935554146766663,2578967,1826734.875,2534087.25,13970152,0.67771452665329,1.21127712726593,1.20236957073212,0.537932813167572,0.105272874236107,0.0350425206124783,0.879576148126723,0.65726512670517,0.60751211643219,0.610295295715332,0.577340960502625,0.259057611227036,0.130995109677315,0.223293647170067,-0.203609392046928,0.012922041118145,0.618921968534947,0.471473484949216,0.826256741946158,0.522472679615021,0.500758767127991,0.400551319122314,0.969997942447662
"49",1998,2204411.25,2169491,57.215194,22.218282699585,1849.67,2.72706627845764,1563890.125,2092866.125,2158189.75,2156101.75,9850290,0.168347090482712,0.996662318706513,0.949790894985199,2625501.5,1883382.125,2614602,14281841,0.697441697120667,1.19969630241394,1.20693337917328,0.530373573303223,0.107183434069157,0.0353519655764103,0.896676281372603,0.624544560909271,0.589736580848694,0.590307712554932,0.58646959066391,0.245339065790176,0.138862639665604,0.229708060622215,-0.210219159722328,0.00983978435397148,0.595374887654931,0.48682869941501,0.747739040672217,0.488618463277817,0.476554095745087,0.413483530282974,1.0392382144928
"50",1999,2253929.5,2223224.75,57.240798,22.4802227020264,1847.12,2.74925971031189,1624070,2172683,2211991.5,2213059.5,9599576,0.158163979649544,1.00177240371704,0.9555624127388,2669557,1929435.375,2691844.75,14613234,0.718519747257233,1.19117403030396,1.21340203285217,0.529751062393189,0.106976330280304,0.0357673056423664,0.938283072395283,0.599022924900055,0.567364156246185,0.567090332508087,0.59600841999054,0.247897982597351,0.137848943471909,0.221055492758751,-0.208629384636879,0.00581849412992597,0.570000005525793,0.473644252199255,0.724507258189096,0.480367332696915,0.476490378379822,0.418384969234467,1.0357438325882
