cluster,n_factors,feature,factor,loading
1,6,exports_of_goods_and_services_constant_lcu,2,0.0015591741398280916
1,6,exports_of_goods_and_services_constant_lcu,3,-0.0012984834041975938
1,6,exports_of_goods_and_services_constant_lcu,4,0.04426074985350904
1,6,exports_of_goods_and_services_constant_lcu,5,-0.008550914953034389
1,6,exports_of_goods_and_services_constant_lcu,6,-0.0013321211623041939
1,6,exports_of_goods_and_services_percent_of_gdp,1,-0.15210432181821176
1,6,exports_of_goods_and_services_percent_of_gdp,2,0.037314624525038746
1,6,exports_of_goods_and_services_percent_of_gdp,3,-0.07249063599790026
1,6,exports_of_goods_and_services_percent_of_gdp,4,0.12206935215291848
1,6,exports_of_goods_and_services_percent_of_gdp,5,-0.22531873237100922
1,6,exports_of_goods_and_services_percent_of_gdp,6,0.11632691458163527
1,6,imports_of_goods_and_services_current_usd,1,-0.0049357042433407095
1,6,imports_of_goods_and_services_current_usd,2,0.020757111461947062
1,6,imports_of_goods_and_services_current_usd,3,0.04314265873369578
1,6,imports_of_goods_and_services_current_usd,4,0.010357022310317343
1,6,imports_of_goods_and_services_current_usd,5,0.0010186889087977727
1,6,imports_of_goods_and_services_current_usd,6,0.021837522435780472
1,6,imports_of_goods_and_services_current_lcu,1,-0.005024216372989469
1,6,imports_of_goods_and_services_current_lcu,2,0.003562268364027609
1,6,imports_of_goods_and_services_current_lcu,3,-0.0024357076036573993
1,6,imports_of_goods_and_services_current_lcu,4,0.05253177095186761
1,6,imports_of_goods_and_services_current_lcu,5,-0.010130988584735972
1,6,imports_of_goods_and_services_current_lcu,6,0.0027413706295448758
1,6,imports_of_goods_and_services_constant_2015_usd,1,-0.0021834965598016252
1,6,imports_of_goods_and_services_constant_2015_usd,2,0.025746962686823367
1,6,imports_of_goods_and_services_constant_2015_usd,3,0.048854980417105565
1,6,imports_of_goods_and_services_constant_2015_usd,4,0.010240111046068532
1,6,imports_of_goods_and_services_constant_2015_usd,5,0.0008333945596195712
1,6,imports_of_goods_and_services_constant_2015_usd,6,0.02683866666623123
1,6,imports_of_goods_and_services_annual_percent_growth,1,0.06307194420297987
1,6,imports_of_goods_and_services_annual_percent_growth,2,0.11402186294381865
1,6,imports_of_goods_and_services_annual_percent_growth,3,0.48459049005524957
1,6,imports_of_goods_and_services_annual_percent_growth,4,-0.002819248867151218
1,6,imports_of_goods_and_services_annual_percent_growth,5,-0.13436208103364142
1,6,imports_of_goods_and_services_annual_percent_growth,6,0.014441840512445365
1,6,imports_of_goods_and_services_constant_lcu,1,-0.010488373213987115
1,6,imports_of_goods_and_services_constant_lcu,2,0.0017851001804835343
1,6,imports_of_goods_and_services_constant_lcu,3,0.00012315248892199983
1,6,imports_of_goods_and_services_constant_lcu,4,0.05842475952518148
1,6,imports_of_goods_and_services_constant_lcu,5,-0.008279658314844281
1,6,imports_of_goods_and_services_constant_lcu,6,-0.0035074821497275933
1,6,imports_of_goods_and_services_percent_of_gdp,1,-0.17511256249264504
1,6,imports_of_goods_and_services_percent_of_gdp,2,-0.0801051508998812
1,6,imports_of_goods_and_services_percent_of_gdp,3,0.012479024012995643
1,6,imports_of_goods_and_services_percent_of_gdp,4,0.056676998875176715
1,6,imports_of_goods_and_services_percent_of_gdp,5,-0.2583917255047
1,6,imports_of_goods_and_services_percent_of_gdp,6,-0.05465247871358505
1,6,external_balance_on_goods_and_services_current_usd,1,-0.003273757371553433
1,6,external_balance_on_goods_and_services_current_usd,2,-0.025997243574967233
1,6,external_balance_on_goods_and_services_current_usd,3,-0.13177318082029527
1,6,external_balance_on_goods_and_services_current_usd,4,-0.004640898504956904
1,6,external_balance_on_goods_and_services_current_usd,5,-0.027274383878853652
1,6,external_balance_on_goods_and_services_current_usd,6,0.0043966433886281995
1,6,external_balance_on_goods_and_services_current_lcu,1,-0.025855796599371927
1,6,external_balance_on_goods_and_services_current_lcu,2,-0.004654920554895418
1,6,external_balance_on_goods_and_services_current_lcu,3,0.00048660497584465906
1,6,external_balance_on_goods_and_services_current_lcu,4,-0.04617928944736739
1,6,external_balance_on_goods_and_services_current_lcu,5,-0.01273227206545587
1,6,external_balance_on_goods_and_services_current_lcu,6,0.0010825663926718034
1,6,external_balance_on_goods_and_services_constant_lcu,1,0.039203737353797695
1,6,external_balance_on_goods_and_services_constant_lcu,2,0.0016705382461235023
1,6,external_balance_on_goods_and_services_constant_lcu,3,-0.04247912839195581
1,6,external_balance_on_goods_and_services_constant_lcu,4,-0.16661156810318126
1,6,external_balance_on_goods_and_services_constant_lcu,5,-0.045711604089046835
1,6,external_balance_on_goods_and_services_constant_lcu,6,0.051261953373736895
1,6,external_balance_on_goods_and_services_percent_of_gdp,1,0.021103469539604406
1,6,external_balance_on_goods_and_services_percent_of_gdp,2,0.20059378506347345
1,6,external_balance_on_goods_and_services_percent_of_gdp,3,-0.14921444057002667
1,6,external_balance_on_goods_and_services_percent_of_gdp,4,0.11489374493982611
1,6,external_balance_on_goods_and_services_percent_of_gdp,5,-0.017076523988900215
1,6,external_balance_on_goods_and_services_percent_of_gdp,6,0.31217900814150884
1,6,services_value_added_per_worker_constant_2015_usd,1,0.04058037737116307
1,6,services_value_added_per_worker_constant_2015_usd,2,0.08325476433897096
1,6,services_value_added_per_worker_constant_2015_usd,3,0.04030249720118662
1,6,services_value_added_per_worker_constant_2015_usd,4,-0.0675760591959922
1,6,services_value_added_per_worker_constant_2015_usd,5,-0.003862000111207805
1,6,services_value_added_per_worker_constant_2015_usd,6,0.04260286904065835
1,6,services_value_added_current_usd,1,-0.011467040772513907
1,6,services_value_added_current_usd,2,0.11160188785761259
1,6,services_value_added_current_usd,3,0.04879436433054644
1,6,services_value_added_current_usd,4,-0.00973568846698127
1,6,services_value_added_current_usd,5,0.001825252881794461
1,6,services_value_added_current_usd,6,0.004143150560124693
1,6,services_value_added_current_lcu,1,-0.005672468128187235
1,6,services_value_added_current_lcu,2,0.04058910316755701
1,6,services_value_added_current_lcu,3,-0.008190805993294421
1,6,services_value_added_current_lcu,4,0.030890999351382193
1,6,services_value_added_current_lcu,5,-0.005686301667878459
1,6,services_value_added_current_lcu,6,-0.0004779744100199773
1,6,services_value_added_constant_2015_usd,1,-0.005700393863467509
1,6,services_value_added_constant_2015_usd,2,0.098262074245092
1,6,services_value_added_constant_2015_usd,3,0.03063712671626394
1,6,services_value_added_constant_2015_usd,4,-0.00913257368685445
1,6,services_value_added_constant_2015_usd,5,0.002759669038700475
1,6,services_value_added_constant_2015_usd,6,-0.0005191838326955115
1,6,services_value_added_annual_percent_growth,1,-0.10177692967916074
1,6,services_value_added_annual_percent_growth,2,-0.014087001617517882
