specification_id,scope,cluster,eigenvalue_rank,observed_eigenvalue,permutation_threshold,retain
7,cluster_2,2,10,1.1270119732163875,1.864607091982832,False
7,cluster_2,2,11,1.0719319861374503,1.7430399531178513,False
7,cluster_2,2,12,0.7970802575843025,1.6308146117937214,False
7,cluster_2,2,13,0.7317865323694595,1.5259151890030365,False
7,cluster_2,2,14,0.6891346848961356,1.4199804967145369,False
7,cluster_2,2,15,0.5763104981506851,1.3136845208956802,False
7,cluster_2,2,16,0.4454822847816876,1.2153870275081298,False
7,cluster_2,2,17,0.3997987217967479,1.131839411218505,False
7,cluster_2,2,18,0.362238873833695,1.044100017060031,False
7,cluster_2,2,19,0.26941704023703156,0.9674558382265899,False
7,cluster_2,2,20,0.22756078234481464,0.8846811226635457,False
7,cluster_2,2,21,0.21269202878770968,0.8162245814171494,False
7,cluster_2,2,22,0.16471819825718767,0.7480341652554671,False
7,cluster_2,2,23,0.15308295407633224,0.6866513114672734,False
7,cluster_2,2,24,0.11939925645932885,0.6206393617201847,False
7,cluster_2,2,25,0.07253490564521312,0.5626153821907884,False
7,cluster_2,2,26,0.06913181447391809,0.5034375856891875,False
7,cluster_2,2,27,0.06469439510234674,0.45330500609827007,False
7,cluster_2,2,28,0.04687050753012385,0.404723277067302,False
7,cluster_2,2,29,0.041699885292082316,0.36057717182167076,False
7,cluster_2,2,30,0.029651719145691365,0.3159669112281564,False
7,cluster_2,2,31,0.017523738297481935,0.27018309636078,False
7,cluster_2,2,32,0.011945227250538681,0.23210089353507357,False
7,cluster_2,2,33,0.007873197020407573,0.19872523193848637,False
7,cluster_2,2,34,0.00384597954189831,0.16917337377188288,False
7,cluster_2,2,35,0.0025349935275338184,0.14061142484486153,False
7,cluster_2,2,36,0.0008526466351428779,0.11510622955312147,False
7,cluster_2,2,37,0.0006185900203015835,0.08783760206299332,False
7,cluster_2,2,38,0.00027640709232128,0.06860391546385462,False
7,cluster_2,2,39,0.000162925530868416,0.05031796585490567,False
7,cluster_2,2,40,7.550327665786624e-05,0.03605203055370609,False
7,cluster_2,2,41,9.669448495621648e-06,0.022653918310648984,False
7,cluster_2,2,42,1.2903626194363998e-07,0.012266166999668588,False
7,cluster_2,2,43,9.19628726500733e-16,0.004912974517618818,False
7,cluster_3,3,1,11.335404159303963,2.6781747542818706,True
7,cluster_3,3,2,3.766653709342645,2.4240081590328093,True
7,cluster_3,3,3,3.099809118467047,2.266872406691699,True
7,cluster_3,3,4,2.66295066780457,2.1367605271643137,True
7,cluster_3,3,5,2.461500959849089,2.024355235687008,True
7,cluster_3,3,6,2.1480573992803804,1.927224412070746,True
7,cluster_3,3,7,1.8042137956992592,1.8374063288069729,False
7,cluster_3,3,8,1.673776618374977,1.7512565284035224,False
7,cluster_3,3,9,1.5879679924991712,1.6658996784195235,False
7,cluster_3,3,10,1.4549895440586245,1.5919254034488226,False
7,cluster_3,3,11,1.2541645546567117,1.525009636023351,False
7,cluster_3,3,12,0.9748538516304034,1.4521301165835958,False
7,cluster_3,3,13,0.8816899001184333,1.392108245307555,False
7,cluster_3,3,14,0.7968986740023724,1.3335478709548816,False
7,cluster_3,3,15,0.707150687532244,1.266520466237087,False
7,cluster_3,3,16,0.6590043549762898,1.2117666671313068,False
7,cluster_3,3,17,0.6202617424885022,1.1611025546350155,False
7,cluster_3,3,18,0.5419451692122422,1.1126869523921523,False
7,cluster_3,3,19,0.5318190003879399,1.0562679230019598,False
7,cluster_3,3,20,0.5030470678822951,1.010370566751214,False
7,cluster_3,3,21,0.43623899623605156,0.965257116326123,False
7,cluster_3,3,22,0.40526146289165804,0.9139503440952133,False
7,cluster_3,3,23,0.3868931865391488,0.8696774280104347,False
7,cluster_3,3,24,0.3437974400472285,0.8285839343005358,False
7,cluster_3,3,25,0.3023698209863752,0.7897699057929771,False
7,cluster_3,3,26,0.2733570093271019,0.7473689994004997,False
7,cluster_3,3,27,0.2305163320751227,0.7051621108333826,False
7,cluster_3,3,28,0.21733095360216884,0.6720033242750562,False
7,cluster_3,3,29,0.20416261425434218,0.6315341559062445,False
7,cluster_3,3,30,0.16029910911077175,0.5942872177038044,False
7,cluster_3,3,31,0.1488423697743409,0.5579385834159605,False
7,cluster_3,3,32,0.1384507734673956,0.5277312624116206,False
7,cluster_3,3,33,0.10408380703941646,0.4909291289952696,False
7,cluster_3,3,34,0.09744006807755146,0.456630532421018,False
7,cluster_3,3,35,0.03242180787367332,0.42533723328450257,False
7,cluster_3,3,36,0.022735640046628914,0.39684322388802756,False
7,cluster_3,3,37,0.015736752495480018,0.366334754864384,False
7,cluster_3,3,38,0.005718280744638886,0.33523492273662087,False
7,cluster_3,3,39,0.004396355343290391,0.30575310207872824,False
7,cluster_3,3,40,0.0020010800413546976,0.2763824650125247,False
7,cluster_3,3,41,0.0012794889880254625,0.24879847250166578,False
7,cluster_3,3,42,0.0005039402505509742,0.21766340542705523,False
7,cluster_3,3,43,3.7432205218597865e-06,0.18444546973083054,False
8,cluster_1,1,1,11.074475692060801,2.715655450997459,True
8,cluster_1,1,2,3.6124362651860404,2.4657787123210673,True
8,cluster_1,1,3,3.3266788728251937,2.297665208485155,True
8,cluster_1,1,4,2.613082631504813,2.1761095815745914,True
8,cluster_1,1,5,2.5783592661927623,2.0520529103656484,True
8,cluster_1,1,6,2.1384403649190475,1.940058178273631,True
8,cluster_1,1,7,1.7891218690316737,1.8448063950571525,False
8,cluster_1,1,8,1.6773881439407343,1.764780471380877,False
8,cluster_1,1,9,1.61360897730258,1.6910222219477067,False
8,cluster_1,1,10,1.4728730365900216,1.6102532813519095,False
8,cluster_1,1,11,1.2342873646884418,1.5278887928308993,False
8,cluster_1,1,12,1.00955704795529,1.4659338123231729,False
8,cluster_1,1,13,0.9653904555200981,1.397747227390057,False
8,cluster_1,1,14,0.7849172979608058,1.3366234200182308,False
8,cluster_1,1,15,0.7375484177066426,1.2781964300617532,False
8,cluster_1,1,16,0.6764046848825384,1.21781825268143,False
8,cluster_1,1,17,0.6707481891125192,1.161007401422953,False
8,cluster_1,1,18,0.5390029202151319,1.106528653979262,False
8,cluster_1,1,19,0.49841096979609906,1.0539776286725184,False
8,cluster_1,1,20,0.4817705782201234,1.0039389891125887,False
8,cluster_1,1,21,0.45978028196541676,0.9548870554529076,False
8,cluster_1,1,22,0.42821131191830164,0.9117857205184812,False
8,cluster_1,1,23,0.38882010299790737,0.8626498374391128,False
8,cluster_1,1,24,0.36255531047766676,0.8247296212764329,False
8,cluster_1,1,25,0.29100477108302863,0.7812869761534404,False
8,cluster_1,1,26,0.26266566274580033,0.7396139474446441,False
8,cluster_1,1,27,0.2114234424542944,0.6991773325968154,False
8,cluster_1,1,28,0.2041943804451325,0.654909711777205,False
8,cluster_1,1,29,0.18952293187266614,0.618495551935693,False
8,cluster_1,1,30,0.1684292225147778,0.5870057021744834,False
8,cluster_1,1,31,0.14008574344411287,0.5494458671614373,False
8,cluster_1,1,32,0.11776480846759856,0.5142053058765499,False
8,cluster_1,1,33,0.09664486691339286,0.48184247457518115,False
8,cluster_1,1,34,0.09475922257541795,0.4464965747914821,False
8,cluster_1,1,35,0.03500162028557152,0.4179837328546016,False
8,cluster_1,1,36,0.023925574074751994,0.38629788057062436,False
8,cluster_1,1,37,0.017265602699584468,0.35373795960198423,False
8,cluster_1,1,38,0.005198261619266155,0.32314886278940635,False
8,cluster_1,1,39,0.003922774521392364,0.29364583437617037,False
8,cluster_1,1,40,0.0023760358295143707,0.2652838626964038,False
8,cluster_1,1,41,0.0013622256185818937,0.2339639608531749,False
8,cluster_1,1,42,0.0005791912240356547,0.209120074308983,False
8,cluster_1,1,43,3.608640429697295e-06,0.17596502636150563,False
8,cluster_2,2,1,10.215166159180239,4.6774880109549075,True
8,cluster_2,2,2,5.7577937231556415,4.03331926549482,True
8,cluster_2,2,3,3.9318399617942195,3.6443241211429003,True
8,cluster_2,2,4,3.042216129242081,3.3036708353715682,False
8,cluster_2,2,5,2.8080441830365235,3.024673934603133,False
8,cluster_2,2,6,2.156526342835113,2.7776884312788925,False
8,cluster_2,2,7,1.9688862973512218,2.5472107549724408,False
8,cluster_2,2,8,1.6237298127568838,2.3576377089080927,False
8,cluster_2,2,9,1.5183109887542985,2.1743640660667736,False
8,cluster_2,2,10,1.441352878652978,2.0107378593631626,False
8,cluster_2,2,11,1.3474860456110813,1.8473412851140434,False
8,cluster_2,2,12,0.9366614248157427,1.6980764692427073,False
8,cluster_2,2,13,0.8508132365198243,1.5517645160261655,False
8,cluster_2,2,14,0.7909478330777118,1.4321000824045043,False
8,cluster_2,2,15,0.7265688491223945,1.2912791006150968,False
8,cluster_2,2,16,0.590917263205524,1.179133592961529,False
8,cluster_2,2,17,0.5480040776418154,1.075898629694065,False
8,cluster_2,2,18,0.5053393839432972,0.969488757249366,False
8,cluster_2,2,19,0.4642219824603152,0.857366066316392,False
8,cluster_2,2,20,0.4005899711491227,0.7681988512493635,False
8,cluster_2,2,21,0.3309468094546285,0.6706067666544689,False
8,cluster_2,2,22,0.2759281173393401,0.5970845801951093,False
8,cluster_2,2,23,0.2458809473535535,0.5156020936644371,False
8,cluster_2,2,24,0.16853598518937676,0.4490980571037567,False
8,cluster_2,2,25,0.12306131656186269,0.38027251068983375,False
8,cluster_2,2,26,0.09405862126119391,0.3165079311925836,False
8,cluster_2,2,27,0.05185760731650912,0.25910386546054087,False
8,cluster_2,2,28,0.045617501311232204,0.21280548365551682,False
8,cluster_2,2,29,0.01870494232802109,0.15864058887657514,False
8,cluster_2,2,30,0.013983840414330507,0.11975221771940839,False
8,cluster_2,2,31,0.006007767163906019,0.07939103039854584,False
8,cluster_2,2,32,1.134049217407845e-15,1.244509088827317e-15,False
8,cluster_2,2,33,7.29717161534292e-16,8.857804086418182e-16,False
8,cluster_2,2,34,3.509086988002367e-16,6.397920115643626e-16,False
8,cluster_2,2,35,1.6609645144021924e-16,4.856082238209911e-16,False
8,cluster_2,2,36,1.426165846025662e-17,3.366269607344027e-16,False
8,cluster_2,2,37,-2.8788254535524845e-17,1.7972614419063879e-16,False
8,cluster_2,2,38,-4.554725241640283e-16,7.618689116436941e-17,False
8,cluster_2,2,39,-5.61588660983419e-16,-5.073761704906632e-17,False
8,cluster_2,2,40,-7.826309090483125e-16,-1.881565638247036e-16,False
8,cluster_2,2,41,-8.413865346049195e-16,-3.0599438751549507e-16,False
8,cluster_2,2,42,-1.13441229230509e-15,-4.908765284358507e-16,False
8,cluster_2,2,43,-1.925321240030055e-15,-7.427842198654731e-16,False
8,cluster_3,3,1,12.792282118436209,4.4122399508170265,True
8,cluster_3,3,2,4.8518581156031555,3.8531678500467765,True
8,cluster_3,3,3,3.503881352667729,3.440170394849694,True
8,cluster_3,3,4,2.9205237874186984,3.1459460754133532,False
8,cluster_3,3,5,2.5817697005481155,2.8851111406801238,False
8,cluster_3,3,6,2.1875243606488546,2.657419126222641,False
8,cluster_3,3,7,1.866426001136676,2.468090752419049,False
8,cluster_3,3,8,1.7269896612198066,2.286289912539713,False
8,cluster_3,3,9,1.539618714702496,2.1216596336563707,False
8,cluster_3,3,10,1.3280924582792577,1.9626821636525005,False
8,cluster_3,3,11,1.1730730538229293,1.8043278026045937,False
8,cluster_3,3,12,1.1447868382467865,1.6858322620769497,False
8,cluster_3,3,13,0.8354499854135969,1.5473457252452034,False
8,cluster_3,3,14,0.6872614426559333,1.4151241462955197,False
8,cluster_3,3,15,0.5917516509903799,1.2975843149715127,False
8,cluster_3,3,16,0.5374216525856202,1.1982943354521343,False
8,cluster_3,3,17,0.4935044175849006,1.0977878508634469,False
8,cluster_3,3,18,0.38230739754646,0.9936553238111399,False
8,cluster_3,3,19,0.33184680014724555,0.9029654672903965,False
8,cluster_3,3,20,0.2756783846305494,0.8158303107213699,False
8,cluster_3,3,21,0.25199108644205315,0.7333178526991725,False
8,cluster_3,3,22,0.23630269233232512,0.6543801913069547,False
8,cluster_3,3,23,0.19435276745862953,0.5751676208852323,False
8,cluster_3,3,24,0.13092647412604716,0.508360648273143,False
